,abstract,labels
0,data_traces_obtained invariant_physical_property svm_based_model data_logs_generated collects_data_traces novel_approach purification_plant extremely_difficult constructing_models done__manually building cyber_physical_systems cps__consist learnt_model_characterises data_logs software_components systematically_seeding physical_effects, 'Social good'
1,long_term_temporal relationships fully_automatic constant_time based_approach missing_attacks factor_leads training_periods_needed predict_future_behaviors accurate_detection comprehensive_experimental_evaluation based_technique detection_period space_requirements space_usage approach_builds intrusion_detection unlike learning_sequences source_code successful_approach efficient_manner false_positives completely_automated short_term typical_programs requiring_access finite_state_automaton fsa past_behaviors anomaly_detection computationally_expensive, 'Social good'
2,constructing_valid_behavior specifications learning_process prototype_induction_engine generates_human_understandable order_logic_formulas technique_employs subvert_privileged_programs machine_learning_method inductive_logic ilp computational_logic allows detecting_attacks analytable_specifications automated_technique construct_specifications produce_sound privileged_programs normal_runs program__backed complex_domain_specific background_knowledge gain_unauthorized_accesses highly_effective human__preliminary experiments consistent_knowledge unix__coupling rich_background_knowledge identifying_intrusions techniques_extended valid_operations generated_specifications specification_induction_engine, 'Social good'
3,statistically_based audit_logs periodically_detect_anomalies generates_rules possible_transactions authors_discusses_wisdom security_officers historically_established_usage patterns_issues include rules__identifies security_anomaly_detection system necessarily_small_sample, 'Social good'
4,sources_increases tasktradaboost transfer_learning_allows multiple_sources algorithms__multisource tradaboost greatly_reducing improved_performance boosting_framework transferring_knowledge target_domain classifier_performance object_category_recognition negative_transfer available_data source_domains learning__brute force_leveraging source_poorly_related fast_algorithm_enabling rapid_retraining multiple_sources source_closely_related import_knowledge, 'Social good'
5,instance_editing_techniques improves ideal_user learning_algorithms_assist punch track_short_term fluctuations usage_policies resource_management run_time_input parameters_supplied learning_algorithms run_specific_resource usage two_level_knowledge base_allows locally_weighted_polynomial purdue_university computing_systems local_learning_algorithms nearest_neighbor, 'Social good'
6,Detection Detection_Scale Invariant_Multimodal Multiresolution_Features correction_scheme multiple_scales classification_features symmetrical_channels multisensorial_perception scale_change signal_intensity gradient_magnitude color__motion introduce_multimodal_multiresolution generating_spatial geometric orientation_channels times_faster novel_boosting_based sliding_window_solution capture_structure multiple_benchmarks improve_recognition object_detection different_filter_types exploits_information deep_learning_approaches pedestrians__cars, 'Social good'
7,Deep_Crisp_Boundaries strict_criteria crisp_edge_detector require_crisp_edge inputs estimating_optical_flow novel_refinement_architecture significant_progress edge_detection crisp_edge_maps standard_benchmarks largely_outperforming_state method_leverages systematical_study deep_convolutional_networks convnet_convnet edge_detectors human_level performance bsds__surpassing human_accuracy challenging_problem progressively_increases refinement_pathway performance detector_outputs feature_maps, 'Social good'
8,recursive_sum_max maps multiple_parts stochastic_gradient_algorithm experiments hierarchical_random_field models current_model inferred_geometric_configurations maximum_likelihood_estimation hierarchical_sparse_frame filters_random field locations__scales learning_meaningful interpretable_templates maximum_entropy model unknown_locations scales resulting_model training_image original_sparse_frame model em_type_algorithm resulting_model steps__inference generative_learning object_detection classification model_parameters, 'Social good'
9,fastmask scale_differently efficient_one_shot inference practical_applications weight_shared_residual neck_module segment_objects accuracy__fastmask different_functional_components body__neck natural_images scale_tolerant_attentional head_module segment_multi_scale objects average_recall adapt_segment_proposal network fps robust_performance coco_benchmark hierarchical_features fact_requires_methods object_scales object_centric_tasks object_proposal resolution_images objects_appear art_segment proposal_methods deep_convolutional_neural networks novel_segment_proposal framework times_faster moreover, 'Social good'
10,adaptive_class_preserving representation classifications sparse_representation_based classification_src uses_norm penalty lasso_overemphasizes adopted_lasso_type regressions group_lasso unlabeled_sample uncorrelated__acprc turns linear_representation_based image_classification discriminative_solution regularization highly_correlated training_samples group_lasso_based classification samples_belonging representation_coefficients inherent_structure, 'Social good'
11,co_segmentation_tasks similar_images single_image joint_skeleton_extraction joint_processing_problems common_objects turn__needs good_segmentation co_skeletonization_task semantically_similar_images object_skeletonization individual_processing joint_processing_topic object_co_skeletonization objects_shape co_segmentation prior_knowledge coupled_framework challenging_problem certainly_shown joint_processing, 'Social good'
12,significant_exploration morphing__division expression_subspaces human_face pre_learnt_identity fitting__robustness pre_learnt_subspace disparity_brought facial_muscle_deformation ethnicity__age gender__etc missing_data space_time_data surface_directly model_compared morphing_subspace face_representation linear_class pre_learnt_subspace popular_methods fitting_algorithm model__convincing results great_advantages refinement_progress shape_units sus face_surface model_fitting refinement_make face_scan_data kinect_data nonlinear_manifold point_components pre_learnt_subspace methods_dmms facial_action_coding optimize_coefficients limited_span larger_span fitting_data, 'Social good'
13,modeling_information bidirectional_models extending_beam_search bs future_sentence_structure significant_advantage interesting_problem search__bibs baseline_methods efficient_algorithm widely_used_approximate inference_algorithm open_problem despite reconstruct_sensible_image descriptions bidirectional_models_remains unidirectional_neural_sequence models_approximate approximate_inference_algorithm bidirectional_neural_sequence models approach__consistently requires_reasoning backward_time_dependencies beam_search bs decoding_sequences, 'Social good'
14,Regression Regression_Gradient gradient_boosting image_inpainting gaussian_conditional_random field__gcrf matches train_nonlinear_data terms challenging_regression_benchmarks vessel_detection single_image depth_estimation generalized_version structured_output_prediction model, 'Social good'
15,avoid_noticeable challenging_multimodal_dynamic dynamic_hand_gestures depth__color employ_connectionist_temporal classification recurrent_three_dimensional convolutional_neural_network outperforms_competing_state performs_simultaneous_detection automatic_detection classification_difficult method_achieves_state inprogress_gestures people_perform_gestures making_detection gesture_recognition chalearn_benchmarks negative__classification large_diversity predict_class_labels truly_instantaneous approaches_human_accuracy, 'Social good'
16,color_information range_images current_commodity_depth sensors_make robotics_applications joint_object_recognition standard_random_sampling based_approach computationally_expensive_training phase pose_estimation generating_promising_inlier sets local_belief_propagation dynamic_programming difficult_problem exploiting_data_parallelism vision_problem clear_outliers early_rejection g pose_estimation_solely, 'Social good'
17,hog_iii_features poselet_model probable__true activations detection_performance different_models effective_organizationfusion_methods iii_features moreover algorithm particular_kind object_categories human_detection biases_rooted deformable_part_based model human_detection_task cell_based_histogram structure competitive_improvements bar_shape_features combine_certain_complementary featuresmodels efficient__relatively features__color certain_combination_features combination_models that weighted_nms_fusion algorithm human_bodies detection_performance_significantly effective__obvious improvement overlapped_detections deep_cnn_based model difficult_problem grammar_model, 'Social good'
18,label_corruption_levels image_labels non_parametric_method data_sets computationally_efficient widely_used large_scale available_data sets correcting_mislabeled_examples associated_images related_methods robust_regression image_collections method_achieves_superior denoising_accuracy robust_regression, 'Social good'
19,saliency logistic_regression_layer combining_information predict_fixations natural_scenes image_regions_centered non_fixation_locations multiresolution_convolutional_neural network_mr cnn fixation_attributes novel_computational_framework simultaneously_learn labels__diverse factors publically_available_benchmark multiple_resolutions visual_features higher_layers directly_trained predicting_fixations, 'Social good'
20,establish_correspondence_constraints constrain_pose_estimation despite_ambiguities carry_information depth_images benchmark_sequences pose_estimation scene_geometry useful_contour_cues smooth_surfaces additional_challenging_examples demonstrate tracking_camera_pose, 'Social good'
21,detected_objects feature_pooling_method regression_model object_information large_intra_class variability samples_selected region_structure method__based distinctive_parts conventional_spatial_pyramid pooling_features segmented_regions novel_feature_pooling method challenging_problem learning_models object_detection coarse_region_matching scheme, 'Social good'
22,hand hand_pose principled_hierarchical_regression articulated_objects faster__comprehensive second_contribution pose_indexed_features hand_pose_estimation problem cascaded_object_pose art_accuracy parameterized_features, 'Social good'
23,meta_information fashionability_scores conditional_random_field model jointly_reasons rich_feedback improve_fashionability scenery_shehe joint_approach_significantly outperforms fashionability_factors data__showing different_outfit_trends user__conveying detailed_analysis user_posts_containing diverse_image person_looks intelligent_baselines suggest_subtle_improvements fashionability_score, 'Social good'
24,various_graph_partition algorithms video_segmentation consist combine_features best_video_segmentation performance edge_weights graph_edges edge_selection best_performing_video segmentation_algorithm spatio_temporal_neighborhoods object_appearance wide_variety learnt_graph challenging_benchmark graph_methods top_performance essential_components classifier__calibrated classifier_outputs graph__without changes large_diversity motion_similarities graph_topology, 'Social good'
25,valuable_information effectively_compressed jointly_used rich_heterogeneous novel_approach extensively_evaluated learned_space learn_cross_modal features testing_procedure matrix_form depth_features capture_useful_information reduce_noise generalization_power action_recognition depth_features depth_data recognition_task low_rank_bilinear model_composed various_sources capture_complex_spatiotemporal structural_relationships model_parameter visual_features recognition__knowledge, 'Social good'
26,human_actions spatial_structure layers_increases representations_extracted recurrent_neural_network rnn long_term_contextual information art_performance deep_architectures_derived model_achieves temporally_accumulated_output separately_feed human_skeleton skeleton_based_action recognition__instead skeleton_joints skeleton_sequences hierarchically_fused temporal_dynamics hand_crafted_features parts_according recognize_human_actions higher_layers, 'Social good'
27,multi_scale_image patches pixel_level surface_normal pixel_level surface_normal_values inference_problem post_processing_refining local_structure single_monocular_color images estimated_super_pixel depth framework_works essentially_underdetermined_problem exploiting_various_potentials dcnn_model smoothness_term data_term estimation_map levels__super pixel_level efficiently_solved super_pixel_level challenging_task closed_form_solution experiments deep_convolutional_neural network_dcnn features auto_regression_term, 'Social good'
28,effectively_used multi_manifold_deep metric_mmdml method different_class manifold_margin learn_multiple_sets art_performance deep_learning nonlinearly_multiple_sets class_specific_information method_achieves varying_illuminations object_class image_instances_captured image_classification mmdml_method nonlinear_transformations image_instances varying_viewpoints, 'Social good'
29,discriminative_activation_vectors supervised_single_hidden layer_neural_network discriminative_objective_function effective_sparselets scene_classification sparselets work multi_class_object detection discriminative_information_hidden activation_vectors unified_framework shared_basis_learned detectors__resulting model_based_methods methods sparselets_training simultaneously_train_fine train_coarse_sparselets notable_speedup imposing_l_norm sparsity_constraint novel_scheme framework__specifically object_detection jointly_embedded unsupervised_single_hidden large_number successfully_applied, 'Social good'
30,learn_separate_models approach_achieves_state hierarchical_structure dynamic_programming represent_action action_specific_motion information learned_discriminatively model_captures action_labels action_recognition pose_estimation lateral_connections adjacent_frames_capture integrate_training appearance_variations efficiently_inferred closely_related_tasks mid_level_st parts scales__specifically model_parameters, 'Social good'
31,object_categorization adapting_object_classification systems single_image adapting_classifiers samples single_image class_distribution_varies benchmark_classifier_adaptation methods prediction_time applied_sequentially test_examples probabilistic_method correlated_data usually_evaluated error_rate creating_realistically_distributed image_sequences significantly_reduce carry_dependencies expected_error, 'Social good'
32,automatic_detections method_shows_good generalization wide_range body_pose human_poses priors_admit_invalid poses quantitatively_compare joint_locations joint_limits human_poses new__multi stage__method methods_impose leeds_sports_pose dataset human_pose pose_dependent_model joint_limits_vary inherently_posed general_parametrization manual_annotations, 'Social good'
33,train_visual_detectors word_usage bleu__score commonly_occur human_judges_compare novel_approach word_detector_outputs serve image_descriptions image_captions language_model_learns deep_multimodal_similarity model conditional_inputs descriptions_visual_detectors language_models official_microsoft_coco benchmark__producing maximum_entropy_language model multiple_instance_learning different_parts set capture_global_semantics ones_written multimodal_similarity_models learnt_directly, 'Social good'
34,experiments missing_labels adequately_address label_correlations challenges__exploiting correlations semi_supervised_low rank_mapping slrm_model classification_performance label_correlations nuclear_norm_regularization results generated_significant intrinsic_structure required_labeled_data efficient_algorithm multi_label_problems arise art_methods labeled_data alternating_direction_method introduces_manifold_regularizer obtain_promising automatic_multimedia data_categorization efficiently_deal machine_learning_community effectively_capture challenges__slrm, 'Social good'
35,guide_future_efforts network_based_architectures error_modes explain_coarse_pose challenging_detection_setting pose_estimation leveraging_viewpoint_estimates correctly_estimate_pose keypoint_prediction simultaneously_detect achieving_significant_improvements finer_details known_bounding_boxes rigid_objects substantially_improve_local appearance_keypoint predictions different_settings constrained_setting object_characteristics determining_viewpoint, 'Social good'
