,abstract,labels
0,data_traces_obtained invariant_physical_property svm_based_model data_logs_generated collects_data_traces novel_approach purification_plant extremely_difficult constructing_models done__manually building cyber_physical_systems cps__consist learnt_model_characterises data_logs software_components systematically_seeding physical_effects,'Machine learning applications'
1,angora increase_branch_coverage symbolic_execution injected_bugs art_fuzzers_leaves finding_software_bugs symbolic_execution_produce quality_inputs set__angora mutation_based_fuzzer second_best_fuzzer wide_margin desired__fuzzers size_respectively angora solving_path_constraints lava_authors_injected techniques_contribute gradient_descent random_mutation_fast tested_angora techniques__scalable byte_level taint_context sensitive_branch count_search file_jhead_objdump popular_technique fuzzers_based difficulty_producing_quality inputs art_fuzzers popular__mature open_source programs_angora impressive_performance main_goal,'Machine learning applications'
2,long_term_temporal relationships fully_automatic constant_time based_approach missing_attacks factor_leads training_periods_needed predict_future_behaviors accurate_detection comprehensive_experimental_evaluation based_technique detection_period space_requirements space_usage approach_builds intrusion_detection unlike learning_sequences source_code successful_approach efficient_manner false_positives completely_automated short_term typical_programs requiring_access finite_state_automaton fsa past_behaviors anomaly_detection computationally_expensive,'Machine learning applications'
3,constructing_valid_behavior specifications learning_process prototype_induction_engine generates_human_understandable order_logic_formulas technique_employs subvert_privileged_programs machine_learning_method inductive_logic ilp computational_logic allows detecting_attacks analytable_specifications automated_technique construct_specifications produce_sound privileged_programs normal_runs program__backed complex_domain_specific background_knowledge gain_unauthorized_accesses highly_effective human__preliminary experiments consistent_knowledge unix__coupling rich_background_knowledge identifying_intrusions techniques_extended valid_operations generated_specifications specification_induction_engine,'Optimization'
4,data_model scheme_mapping expressive_power integrity_properties integrates_ideas numerous_authors model_builds data_based_semantics seaview__belief based_semantics multilevel_relations multilevel_relational mlr_data model eliminating_ambiguity operation_statements combines_ideas resulting_model tuple_level_labeling retaining_upward_information flow,'Optimization'
5,time_based_inductive engine anomaly_activities detection security_management greater_sensitivity temporal_properties approach_uses_sequential rules adjacent_security_events time_based_inductive learning_approach seemingly_intractable_erratic security_audit_records dynamically_generated approach_allows rulebase_characterize user_activities sequential_relationships users_behavior anomaly_detection users_activity_deviates store_patterns,'Optimization'
6,statistically_based audit_logs periodically_detect_anomalies generates_rules possible_transactions authors_discusses_wisdom security_officers historically_established_usage patterns_issues include rules__identifies security_anomaly_detection system necessarily_small_sample,'Optimization'
7,sources_increases tasktradaboost transfer_learning_allows multiple_sources algorithms__multisource tradaboost greatly_reducing improved_performance boosting_framework transferring_knowledge target_domain classifier_performance object_category_recognition negative_transfer available_data source_domains learning__brute force_leveraging source_poorly_related fast_algorithm_enabling rapid_retraining multiple_sources source_closely_related import_knowledge,'Machine learning applications'
8,instance_editing_techniques improves ideal_user learning_algorithms_assist punch track_short_term fluctuations usage_policies resource_management run_time_input parameters_supplied learning_algorithms run_specific_resource usage two_level_knowledge base_allows locally_weighted_polynomial purdue_university computing_systems local_learning_algorithms nearest_neighbor,'Machine learning applications'
9,subspace subspace_algorithm shows_significant_performance accuracy statistically_robust_version principal_components grassmann_manifold points gaussian_distribution intrinsic_average computation_time gain principal_component_analysis pca linear_subspace_approximation reconstruction_error linear_complexity subspace_averaging called_rpca subspaces_coincide subspaces_spanned recently_published_rpca methods time_required intrinsic_grassmann_average algorithms_outperform geometric_framework datasets efficient_online_algorithm algorithm_method fundamental_method principal_linear_subspaces algorithms_exist,'Machine learning applications'
10,Detection Detection_Scale Invariant_Multimodal Multiresolution_Features correction_scheme multiple_scales classification_features symmetrical_channels multisensorial_perception scale_change signal_intensity gradient_magnitude color__motion introduce_multimodal_multiresolution generating_spatial geometric orientation_channels times_faster novel_boosting_based sliding_window_solution capture_structure multiple_benchmarks improve_recognition object_detection different_filter_types exploits_information deep_learning_approaches pedestrians__cars,'Machine learning applications'
