2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
1035844744,1038518122,1356912915,1378579611,1166239547,1022569627,1039373095,1051506199,987781405,873864263
268826043,271630161,357861923,359883785,299997531,259794238,264952330,262236046,245211677,222005434
47021276,46838078,63202892,65142528,50976091,44741434,46903413,45495174,43502090,39692149
99187489,102000532,132648664,134738164,117337720,101168025,101974477,106929759,102322870,89264529
11303662,11101377,14821273,14629227,11927583,10316625,10510188,10089742,9571501,8446490
3191783,3206246,4148269,4080659,3251355,2878354,3012693,2711201,2449643,2258804
10028733,9950288,14262028,13415363,9715870,8565715,9354435,8748786,8604283,8144288
68137268,68820569,89628665,90725596,76308379,66471577,68137948,66925496,62681980,57101050
2440340,2698333,4016534,3931632,2862634,2450893,2697050,2536899,2423680,2250717
5661387,5804945,7340321,7470346,6664701,5892512,5962545,5861032,5383841,4949346
39542668,41807603,53519225,52403448,46493907,39530134,38985250,39824158,37679654,34146380
10019000,10348102,14335434,14036815,11229422,9782939,9996398,9982207,9586754,8469629
25723722,25298772,34310773,34662419,27065938,23706984,25078063,23953200,22821619,20326964
13051676,12919350,17204493,17686160,14377544,12525027,13103165,13698666,11968381,10715206
1417816173,1416458594,1847534768,1874766959,1577272714,1378684364,1403626306,1409947436,1331209690,1179563693
439753794,438765996,581946152,581175259,476956510,412682859,427281364,413498175,388197160,350587510
18937979,19191064,24890615,24890778,21285233,18553490,18947010,18219802,16690738,15851455
2826084,2895446,3864421,3735732,3002629,2584557,2673381,2504335,2302398,2114628
33024411,33649926,47869793,44458731,34311267,29755180,31785775,31118520,29710700,27276483
73946550,76018763,98307793,98571362,87011146,74094872,74633344,74567794,69730856,64652696
1047870657,1052522287,1340011505,1364553426,1183223456,1026288217,1027337035,1033712411,983826688,867065852
126852800,129737470,173207921,172614818,142159565,122449580,125272412,126491213,118695697,105289054
541456667,561733572,720130522,729206095,653013216,560352586,555107504,582304673,546424739,486031152
14544277,14518295,20169692,20385654,16024582,14221728,14745441,14039080,13317170,12120949
809780361,807809662,1047691056,1065821025,911696651,799420274,810771151,827001272,779236239,686075142
5533679,5134860,6212674,6247726,5140795,4589610,5080977,4260865,3742475,3580734
36710959,36905264,47306556,48043733,41695130,36701075,37010965,35829617,33145830,30368412
444022900,439570670,579768455,595452054,491286237,427053651,438912956,439404082,419760613,372909754
15577313,16178951,24563059,22702214,16904166,14867782,15737449,14778766,13945895,13015747
7886077,7827210,10565283,10412318,8576722,7464425,7663342,7413958,6939179,6297359
92695676,93308282,123806382,123087450,100335345,86768960,89701687,87589284,80958805,73491518
41325508,43774603,56598151,56530763,50471646,42364707,41330493,43786730,41904299,36750771
610376489,610951906,798859666,812219385,680350053,593119688,603580956,601950841,572116051,506299108
7671523,7794532,10968724,10905689,8350851,7161948,7669194,7074480,6751625,6289594
296678325,296655856,406672325,401884617,317186238,275909885,289933332,280344067,266329884,236361055
141874200,141515711,187467213,187714132,152281682,132987462,139016587,133373532,124448109,113836972
43137,47521,69745,66812,49104,42311,40746,41335,40920,38255
1908171,1967161,2428038,2440965,2151495,1874622,1865719,1974567,1873516,1636324
62607216,60720166,80034647,82106120,64747760,56467090,59969316,59438726,55186783,48096892
564281898,566433070,735310437,742778344,627990295,543986977,553442726,546172865,514726751,459915116
1234281,1245679,1576681,1613369,1403562,1223023,1244205,1178247,1095969,987357
5757260,5710229,8050593,7926197,6054872,5217176,5592896,5214324,4881533,4411911
42755918,42512801,57073583,57738428,44494820,38138775,39727010,37658695,34587173,31380423
51064560,51737260,63463823,64942038,59279051,51343565,50042635,54428795,51480112,44307477
2351748,2467716,4151981,3780260,2566559,2279931,2493143,2279309,2183433,2084286
122175655,123002418,160176705,161744689,136341262,118802285,122507562,118149582,109975773,99265912
1470283234,1479238716,1910617863,1937727627,1664084693,1454588774,1468871559,1490150829,1402696353,1240938150
366055241,367025235,488310752,491947982,404666094,351599219,360784725,353845387,333861010,302058982
1997712788,2000665876,2581689102,2621423244,2235196904,1948241895,1970979638,1990519207,1874821451,1657577321
18191215,18584031,24648235,24173590,20380206,17872064,18191741,17567654,16319140,14694971
18108208,17633967,24612423,24425463,18596382,15925861,16959157,15731633,15783417,13700272
622716878,624945445,814680365,822200475,689088199,599108463,611972871,603604083,565953604,506925961
90074129,93031465,123916936,122454880,104378590,90912473,92021354,90855219,84457852,77530928
806165032,807783700,1033997294,1058983847,921769107,807139831,810395860,836460114,787165918,692181014
109446562,111805751,144521467,144999461,124916506,107583538,108477700,108338535,100503558,90637145
384196312,386882641,503176287,507723297,431509818,372988091,379089929,380062237,360323444,318904133
66354019,68037386,89763175,89245566,76362979,66490787,67895779,69769413,66396557,58905793
7588630,7778196,10428364,9615328,7781807,6798372,6998837,6613038,6304268,5668647
164016768,167483949,215931846,215314335,186343936,161681583,161740229,161494681,152986069,135962470
1054786,1076993,1595296,1502529,1095260,933836,1042538,977974,960652,883879
874070466,880254474,1127443156,1143013620,990512932,858256822,864012427,870421688,823215159,727484658
26348784,26277135,34639019,35398769,29569724,25850087,26265120,25217320,23563795,21120178
9016480,9355332,12863287,12751999,11011808,9913005,9245073,8964021,8270927,7673142
21406668,20763424,29928239,29652546,22184866,19807217,21882910,19683502,18401257,16851591
165294744,165990418,217739973,218378903,179778538,155714216,163703247,155865163,146367873,132803113
60207228,60443815,81604964,80724005,64938805,56368844,59679844,58943549,57057605,49458618
12928,13914,21005,19420,14292,12916,14368,16339,20281,22064
15395255,15275167,21173791,20727487,16152223,14361027,15062203,14167924,13372331,11970193
8395560,8488344,12659766,12145819,9408115,8289657,8804173,8433239,7922353,7439503
114602971,113513325,147738941,151726392,128291369,110659387,112119735,112057569,106310619,96966723
53539,55248,73291,70654,56497,48487,53941,50406,46528,43485
16351920,16131010,23402022,22604715,16570152,14043365,15354717,14175636,13568398,12239859
9356364,9114997,12137131,12772337,9859694,8518971,8940495,8259532,7431496,6848541
5503,10030,13753,13169,8533,4686,7156,6996,8036,7546
96891404,97130439,132086430,131439816,106540256,92602430,95675063,93243927,87857134,79445531
17696388,17879910,23683085,24206503,19323582,16830801,18094102,16860843,15845970,14466286
4605466,4477133,5395532,5353843,4253373,3701745,3916133,3591568,3096495,3075041
19048026,18689069,24766594,24643207,19181367,16536636,17505073,16247924,15177016,13663934
